Year,blueline1,blueline2,blueline3,blueline4,blueline5,blueline6,redline1,redline2,redline3,redline4,redline5,redline6,Precipitation,Temperature,BW,GW,Region,Scenario
2070,72.62589744,70.43606838,73.38472222,77.18205128,67.25049145,72.99773504,18.58582457,17.80863205,18.75709274,19.31641047,17.61219872,19.66361816,72.99773504,19.66361816,6.923263034,56.13666432,Crop Lands,CNRM-SSP126
2071,83.85888889,86.69893162,85.95480769,87.93801282,100.9063248,78.18388889,18.81860128,16.27935833,17.69423675,19.54282372,17.01893568,18.20319167,78.18388889,18.20319167,7.474236538,64.49677201,Crop Lands,CNRM-SSP126
2072,73.84709402,71.91401709,60.36230769,61.12083333,100.6699145,125.7723718,19.52214103,17.90337564,18.65268868,18.12635513,16.83592436,16.91243974,125.7723718,16.91243974,17.81851474,80.63394081,Crop Lands,CNRM-SSP126
2073,75.00698718,76.44179487,109.4261325,99.07784188,67.41444444,53.70679487,18.68393333,17.84783226,16.15525855,17.05663761,18.43145406,18.56255769,53.70679487,18.56255769,9.564106624,59.14738739,Crop Lands,CNRM-SSP126
2074,67.8465812,61.89668803,55.45324786,81.04980769,55.41527778,85.06461538,18.91309402,19.09726538,19.76265855,20.23795556,18.75326645,18.30308419,85.06461538,18.30308419,13.66034701,68.99954829,Crop Lands,CNRM-SSP126
2075,72.34217949,40.31352564,66.00318376,95.18942308,49.9867735,42.99200855,19.24843889,19.55146389,18.64147585,18.45535983,18.20256581,17.92064359,42.99200855,17.92064359,6.803004487,50.96982265,Crop Lands,CNRM-SSP126
2076,84.74294872,59.06544872,84.68888889,51.04025641,92.5325,48.53438034,19.41283526,18.65284188,17.76484637,19.5192156,17.00273184,19.41297799,48.53438034,19.41297799,9.187787179,51.19959872,Crop Lands,CNRM-SSP126
2077,81.21794872,67.20252137,94.14038462,106.808141,80.18264957,110.5760043,18.21885513,17.47134145,16.64970684,17.50147457,19.17895513,16.9476156,110.5760043,16.9476156,17.07231581,78.21054551,Crop Lands,CNRM-SSP126
2078,60.17027778,63.54320513,46.54059829,42.67974359,48.72324786,93.98989316,19.24716261,18.416175,18.68791068,20.05731645,18.41133504,17.4970265,93.98989316,17.4970265,13.91755534,71.84548611,Crop Lands,CNRM-SSP126
2079,74.30235043,47.13070513,72.33901709,55.68942308,75.11418803,43.52331197,20.0093938,19.1507797,18.12639402,19.59195662,16.78393739,19.02679637,43.52331197,19.02679637,6.343617735,52.38699509,Crop Lands,CNRM-SSP126
2080,84.39123932,79.79647436,84.62811966,55.185,61.7842735,40.85884615,17.57690983,18.4569109,17.84123376,19.50418632,17.6946297,19.15758825,40.85884615,19.15758825,3.505199573,43.46726239,Crop Lands,CNRM-SSP126
2081,76.84532051,95.85886752,74.70096154,100.7694658,72.2657265,33.16534188,18.52900342,16.9231812,16.91274701,17.08693739,17.39658034,19.79740684,33.16534188,19.79740684,2.443835897,34.60253974,Crop Lands,CNRM-SSP126
2082,64.20965812,91.50679487,73.75615385,99.12271368,98.6499359,91.22645299,18.25917009,18.38656068,19.58805385,17.24131944,16.05840748,16.95040556,91.22645299,16.95040556,11.04405726,70.576,Crop Lands,CNRM-SSP126
2083,78.7049359,80.61801282,81.05405983,61.42574786,55.47933761,67.39970085,18.6300735,17.95157158,18.17246303,18.62826197,17.63830342,18.87115214,67.39970085,18.87115214,7.296388462,58.5758609,Crop Lands,CNRM-SSP126
2084,110.918953,78.28367521,81.8066453,124.1436752,46.2925,26.10967949,17.87151966,17.13974124,16.96766239,19.17894786,19.01910791,21.03182393,26.10967949,21.03182393,2.766129701,37.63337842,Crop Lands,CNRM-SSP126
2085,71.76230769,74.38393162,69.9159188,96.3640812,62.68681624,31.90615385,16.86456709,18.49557222,17.47875513,19.25715385,16.53224017,19.83430278,31.90615385,19.83430278,4.080622863,40.7765391,Crop Lands,CNRM-SSP126
2086,81.57989316,75.17117521,101.5553419,73.30636752,82.81606838,67.83183761,18.1515797,18.42106239,18.23709615,19.88405171,18.83310983,19.13680769,67.83183761,19.13680769,7.620214316,57.60289786,Crop Lands,CNRM-SSP126
2087,97.31277778,72.29260684,84.85064103,58.5374359,69.50053419,40.61551282,18.27541838,17.41156645,16.92707137,18.8256906,17.62616261,20.48528333,40.61551282,20.48528333,3.691932906,41.27233162,Crop Lands,CNRM-SSP126
2088,69.21023504,86.22211538,70.42912393,58.37369658,60.75521368,49.89269231,18.40626944,17.77476261,17.33256303,19.05188355,17.54472671,19.74171624,49.89269231,19.74171624,6.904647222,52.78993376,Crop Lands,CNRM-SSP126
2089,80.53380342,70.68792735,72.28215812,77.11773504,65.07899573,89.70002137,17.10146902,16.66707094,17.77772564,17.92243013,17.70831645,18.32098355,89.70002137,18.32098355,9.150145299,61.77111752,Crop Lands,CNRM-SSP126
2090,79.32773504,85.0333547,84.59267094,83.7424359,64.1649359,81.1840812,18.32164316,16.76892714,17.59759637,19.74676667,18.5675297,16.81109893,81.1840812,16.81109893,12.82713034,67.69802885,Crop Lands,CNRM-SSP126
